Periood;Börsihind senti/kWh (sisaldab käibemaksu);Börsihind senti/kWh (ei sisalda käibemaksu)
01.01.2024 00:00;4,88122;4,001
01.01.2024 01:00;4,68114;3,837
01.01.2024 02:00;3,47212;2,846
01.01.2024 03:00;3,25252;2,666
01.01.2024 04:00;2,98656;2,448
01.01.2024 05:00;2,92922;2,401
01.01.2024 06:00;2,59006;2,123
01.01.2024 07:00;2,75964;2,262
01.01.2024 08:00;3,05488;2,504
01.01.2024 09:00;3,20128;2,624
01.01.2024 10:00;3,92962;3,221
01.01.2024 11:00;5,04348;4,134
01.01.2024 12:00;5,30822;4,351
01.01.2024 13:00;7,15408;5,864
01.01.2024 14:00;7,45908;6,114
01.01.2024 15:00;7,36148;6,034
01.01.2024 16:00;9,46232;7,756
01.01.2024 17:00;8,3448;6,84
01.01.2024 18:00;9,04752;7,416
01.01.2024 19:00;7,93122;6,501
01.01.2024 20:00;6,82102;5,591
01.01.2024 21:00;5,8743;4,815
01.01.2024 22:00;7,92268;6,494
01.01.2024 23:00;6,5392;5,36
02.01.2024 00:00;5,36678;4,399
02.01.2024 01:00;6,771;5,55
02.01.2024 02:00;6,09268;4,994
02.01.2024 03:00;5,76572;4,726
02.01.2024 04:00;6,527;5,35
02.01.2024 05:00;9,33056;7,648
02.01.2024 06:00;21,9661;18,005
02.01.2024 07:00;30,50122;25,001
02.01.2024 08:00;58,93576;48,308
02.01.2024 09:00;36,60854;30,007
02.01.2024 10:00;30,50122;25,001
02.01.2024 11:00;29,51668;24,194
02.01.2024 12:00;19,45534;15,947
02.01.2024 13:00;18,29878;14,999
02.01.2024 14:00;18,29878;14,999
02.01.2024 15:00;20,2276;16,58
02.01.2024 16:00;30,50244;25,002
02.01.2024 17:00;27,59762;22,621
02.01.2024 18:00;24,0218;19,69
02.01.2024 19:00;30,50122;25,001
02.01.2024 20:00;24,02302;19,691
02.01.2024 21:00;12,8954;10,57
02.01.2024 22:00;18,24144;14,952
02.01.2024 23:00;11,02636;9,038
03.01.2024 00:00;10,57618;8,669
03.01.2024 01:00;5,98776;4,908
03.01.2024 02:00;6,92472;5,676
03.01.2024 03:00;6,84542;5,611
03.01.2024 04:00;7,07112;5,796
03.01.2024 05:00;8,56074;7,017
03.01.2024 06:00;10,5774;8,67
03.01.2024 07:00;14,49238;11,879
03.01.2024 08:00;16,04422;13,151
03.01.2024 09:00;16,2199;13,295
03.01.2024 10:00;15,71482;12,881
03.01.2024 11:00;12,06946;9,893
03.01.2024 12:00;15,84902;12,991
03.01.2024 13:00;14,49238;11,879
03.01.2024 14:00;11,8401;9,705
03.01.2024 15:00;11,73518;9,619
03.01.2024 16:00;14,52044;11,902
03.01.2024 17:00;15,84902;12,991
03.01.2024 18:00;18,00964;14,762
03.01.2024 19:00;14,4936;11,88
03.01.2024 20:00;12,09264;9,912
03.01.2024 21:00;10,47004;8,582
03.01.2024 22:00;12,1939;9,995
03.01.2024 23:00;10,61034;8,697
04.01.2024 00:00;7,1248;5,84
04.01.2024 01:00;15,7685;12,925
04.01.2024 02:00;12,97348;10,634
04.01.2024 03:00;11,51924;9,442
04.01.2024 04:00;11,93038;9,779
04.01.2024 05:00;14,81568;12,144
04.01.2024 06:00;21,98562;18,021
04.01.2024 07:00;18,06942;14,811
04.01.2024 08:00;46,2685;37,925
04.01.2024 09:00;36,59878;29,999
04.01.2024 10:00;36,6;30
04.01.2024 11:00;36,60854;30,007
04.01.2024 12:00;36,6;30
04.01.2024 13:00;36,59878;29,999
